,geometry,TOT_P_2018,distance,weighted_distance,avg_bycicle,population_normal,distance_normal,avg_bycicle_normal,weighted_distance_normal
17,POINT (4.8755890749213 50.46240357833341),5189.0,0.00019018633898835893,0.9868769130105945,17493.066666666666,0.17859232490104973,0.001090724554964835,0.29891334684387577,0.05822683559075008
18,POINT (4.8909607630633 51.71982929062105),12.0,0.0005130952853749878,0.006157143424499854,2668.6,0.00041300980898296334,0.002942617381311724,0.045599789481598436,5.5418784971691106e-05
19,POINT (4.890448339048135 51.71985552800955),12.0,0.0005130952853749878,0.006157143424499854,2668.6,0.00041300980898296334,0.002942617381311724,0.045599789481598436,5.5418784971691106e-05
20,POINT (4.207450194723759 50.50802420341034),517.0,0.01152188304553972,5.956813534544035,1143.0,0.01779383927034934,0.06607835675291279,0.019531049755477408,0.02296436727586253
21,POINT (4.632669494569079 50.453078134262846),2336.0,0.006637743762464557,15.505769429117207,10067.666666666666,0.0803992428153502,0.038067666425441384,0.17203158231690993,0.5265218488967953
22,POINT (4.703594300312842 50.44989391626005),436.0,0.00011538362233242274,0.05030725933693631,4673.133333333333,0.015006023059714334,0.0006617286540568281,0.07985231815163021,0.0007929267670974017
23,POINT (4.703703528387622 50.449856732823115),436.0,0.00011538362233242274,0.05030725933693631,4673.133333333333,0.015006023059714334,0.0006617286540568281,0.07985231815163021,0.0007929267670974017
24,POINT (5.358948841641782 51.698369548157096),52.0,0.0012604522512987028,0.06554351706753254,5975.266666666666,0.0017897091722595079,0.007228732768952202,0.10210256392730736,0.0013209344960274968
25,POINT (5.369620817739584 51.68431422908412),52.0,0.017647749660371564,0.9176829823393213,5975.266666666666,0.0017897091722595079,0.10121039185478926,0.10210256392730736,0.018494569135501477
26,POINT (5.33978628144033 51.727064589160484),324.0,0.009174520648887378,2.9725446902395105,5975.266666666666,0.011151264842540011,0.05261616057705325,0.10210256392730736,0.059907325666931265
27,POINT (5.343495069481275 51.718673122041785),525.0,0.006418029625839433,3.369465553565702,5975.266666666666,0.018069179143004648,0.036807599034877694,0.10210256392730736,0.06790668981488146
28,POINT (5.350653230749649 51.70935129817042),1558.0,0.0002299401551834275,0.3582467617757801,5975.266666666666,0.05362244019962141,0.001318713924275814,0.10210256392730736,0.007219943739549276
29,POINT (5.350509714424045 51.70953095211346),1558.0,0.0002299401551834275,0.3582467617757801,5975.266666666666,0.05362244019962141,0.001318713924275814,0.10210256392730736,0.007219943739549276
30,POINT (5.355506714252369 51.70327570053291),1661.0,0.00473681617527843,7.867851667137472,5975.266666666666,0.05716744106005851,0.027165787733297905,0.10210256392730736,0.15856513567987252
31,POINT (5.358300302975015 51.699450352244575),52.0,0.0012604522512987028,0.06554351706753254,5975.266666666666,0.0017897091722595079,0.007228732768952202,0.10210256392730736,0.0013209344960274968
32,POINT (3.7387548829819583 51.01203853991679),312.0,0.0007464200004924342,0.23288304015363948,10657.0,0.010738255033557046,0.004280741861821078,0.18210183485925,0.008370802121840755
33,POINT (4.010990997603193 51.44827196425527),91.0,0.018340200766995603,1.6689582697966,5682.666666666667,0.003131991051454139,0.10518162043579499,0.0971027518901659,0.03198835505506856
34,POINT (3.219804323244507 51.22004570536275),2425.0,0.0020663356839087984,5.010864033478836,6697.4,0.08346239889864052,0.011850499258925925,0.11444204079819283,0.11319131475467957
35,POINT (3.22178615958247 51.22063057106368),2425.0,0.00031288740302503465,0.758751952335709,6697.4,0.08346239889864052,0.0017944189642320886,0.11444204079819283,0.017139585206013476
36,POINT (3.22178615958247 51.22063057106368),2425.0,0.00031288740302503465,0.758751952335709,6697.4,0.08346239889864052,0.0017944189642320886,0.11444204079819283,0.017139585206013476
37,POINT (3.222979075022383 51.220915393052515),2425.0,0.0007210659233650135,1.7485848641601576,6697.4,0.08346239889864052,0.00413533544284036,0.11444204079819283,0.03949910003784519
38,POINT (3.2220904833225767 51.2207032731144),2425.0,0.00031288740302503465,0.758751952335709,6697.4,0.08346239889864052,0.0017944189642320886,0.11444204079819283,0.017139585206013476
39,POINT (3.2111341566030935 51.21824942550319),2972.0,0.0002365226703386714,0.7029453762465314,6697.4,0.10228876269144725,0.00135646485292528,0.11444204079819283,0.01587896035622972
40,POINT (3.2109011943573824 51.21820854071803),2972.0,0.0002365226703386714,0.7029453762465314,6697.4,0.10228876269144725,0.00135646485292528,0.11444204079819283,0.01587896035622972
41,POINT (3.2143584266675735 51.21872637655759),2972.0,0.0019506745675793244,5.797404814845752,6697.4,0.10228876269144725,0.011187179168186267,0.11444204079819283,0.13095862685021145
42,POINT (3.2162607080501466 51.21915818300742),2972.0,0.0015736792449854518,4.676974716096763,6697.4,0.10228876269144725,0.009025099296165622,0.11444204079819283,0.10564902852130495
43,POINT (3.2177981289657462 51.21949404502429),2972.0,0.0015736792449854518,4.676974716096763,6697.4,0.10228876269144725,0.009025099296165622,0.11444204079819283,0.10564902852130495
